UQID,Category,Name,Formulation,Expiry
125,M,TAB BUSCOPAN 10 mg,Hyoscine Butylbromide,
126,M,CAP DOXYCYCLINE 100mg,,Oct-22
127,M,TAB  PHENTOIN,,
128,M,ORS SACHETS,,Oct-22
129,M,TAB HISTAVERT 8MG,Betahistine 8 mg,
130,M,TAB NORETHISTERONE 5 MG,,
131,M,TAB FUROSEMIDE 40 MG,,
132,M,TAB CARVEDILOL 3.125 MG,,
133,M,CAP  CLODOC - V6,Clotrimozole 100mg,
134,M,TAB LACTONAM - DS,,
135,M,TAB FANSANT 50,Phentoin 50 mg,
